smiles,AR
ClC1=C(Cl)C2(Cl)C3COS(=O)OCC3C1(Cl)C2(Cl)Cl,1.74260222833203
[H][C@]12O[C@@]1([H])[C@@]1([H])C[C@]2([H])[C@]2([H])[C@@]1([H])[C@]1(Cl)C(Cl)=C(Cl)[C@@]2(Cl)C1(Cl)Cl,1.43457150201071
[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3CC[C@@]21[H],1.46711170235734
[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,1.28399555112777
CCOC1=C(C=CC=C1)C(N)=O,1.54398394549602
CCOC1=CC2=C(NC(C)(C)C=C2C)C=C1,1.60205999132796
CCC1=CC=C(C=C1)C(C(Cl)Cl)C1=CC=C(CC)C=C1,1.70133508799167
[H][C@@]12CC[C@@](OC(C)=O)(C#C)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CC[C@H](OC(C)=O)C=C3CC[C@@]21[H],1.53596332121773
CC(C)[C@@H](C(=O)O[C@@H](C#N)C1=CC=CC(OC2=CC=CC=C2)=C1)C1=CC=C(Cl)C=C1,1.52348582044443
[Fe+3].CN(C)C([S-])=S.CN(C)C([S-])=S.CN(C)C([S-])=S,0.513374318566771
CC(O)=O.FC(F)(F)COC1=CC(C(=O)NCC2CCCCN2)=C(OCC(F)(F)F)C=C1,1.60205999132796
FC1=CNC(=O)NC1=O,0.392738747390989
Cl.CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1,1.65161537202927
CC(C)N1C(\C=C\[C@H](O)C[C@H](O)CC(O)=O)=C(C2=C1C=CC=C2)C1=CC=C(F)C=C1,0.706868009295516
O=CC1=CC=CO1,1.38723668708569
OC(=O)C1=CC(O)=C(O)C(O)=C1,1.68524514710738
[Cl-].CN(C)C1=CC=C(C=C1)C(C1=CC=C(C=C1)N(C)C)=C1C=CC(C=C1)=[N+](C)C,1.01517295890157
OCC1CO1,1.82424716385262
[H][C@@]12C[C@](C)(CC[C@]1(C)CC[C@]1(C)C2=CC(=O)[C@]2([H])[C@@]3(C)CC[C@H](O)C(C)(C)[C@]3([H])CC[C@@]12C)C(O)=O,1.60205999132796
[Na+].[Na+].CCN(CC1=CC(=CC=C1)S([O-])(=O)=O)C1=CC=C(C=C1)C(=C1C=CC(C=C1)=[N+](CC)CC1=CC(=CC=C1)S([O-])(=O)=O)C1=C(C=C(O)C=C1)S([O-])(=O)=O,1.38445742670752
COC1=CC(OC)=C(Cl)C2=C1C(=O)[C@]1(O2)[C@H](C)CC(=O)C=C1OC,1.39860748612762
[H][C@]12C3=CC(O)=C(O)C=C3C[C@@]1(O)COC1=C2C=CC(O)=C1O,1.67125292057458
ClC1C=CC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,1.79358112618177
Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H](Cl)[C@H]1Cl,1.74995788036386
Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,1.70056729369145
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,1.60205999132796
ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,1.42869141795718
OC1=C(CC2=C(Cl)C(Cl)=CC(Cl)=C2O)C(Cl)=C(Cl)C=C1Cl,1.24914475757506
CN(C)P(=O)(N(C)C)N(C)C,1.8717798036587
CCCCCCOC1=CC(C)=C(O)C(C)=C1C,1.50335262265688
CCCCCCC1=C(O)C=C(O)C=C1,1.63284294109324
NNC1=NC(=CS1)C1=CC=C(N)C=C1,1.65321251377534
NNC1=NC(=CS1)C1=CC=C(C=C1)[N+]([O-])=O,1.47809991883877
NNC1=NC(=CS1)C1=CC=CC=C1,1.80445253162912
N(NC1=CC=CC=C1)C1=CC=CC=C1,1.77932444540895
OC1=CC=C(O)C=C1,1.54677868419165
OC1=CC=C(OCC2=CC=CC=C2)C=C1,-0.0198094844780673
OC1=CC=CC2=CC=CN=C12,0.589859853761964
NC(=O)CI,1.8733650128029
IC(I)I,1.39680768164035
CN1C(N)=NC2=C1C=CC1=C2C=CC=N1,1.59343650714496
CC(C)COC(=O)C1=CC=C(O)C=C1,1.82302942225546
CC1=CC(=O)CC(C)(C)C1,1.70218092097858
CC(C)O,1.87665475760669
CC(C)OC(=O)NC1=CC=CC(Cl)=C1,1.87111926074184
OC1=CC=C(C=C1)C1=C(O)C(=O)C2=C(O1)C=C(O)C=C2O,1.54298593216604
ClC12C(=O)C3(Cl)C4(Cl)C1(Cl)C1(Cl)C2(Cl)C3(Cl)C4(Cl)C1(Cl)Cl,1.68565629604696
C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,1.64419594661311
[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC,1.36524465446352
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,1.79304897303261
Cl.Cl.COC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1,1.26764246657645
CN1C(C(=O)NC2=NC=C(C)S2)=C(O)C2=CC=CC=C2S1(=O)=O,1.58933199843346
N[C@@H](CC1=CC=C(C=C1)N(CCCl)CCCl)C(O)=O,1.49607802537092
SC1=NC2=C(S1)C=CC=C2,1.93237398078737
S=C1NC=NC2=C1N=CN2,0.683411421152693
[Cl-].[Cl-].[Hg++],0.632731625552114
C[Hg]Cl,1.23803705682394
